id,kind,path,name,purpose,personas,reached_via,depends_on,referenced_by,duplicate_of,status,notes
1,route,/,LandingPage,Public marketing site with hero/features/pricing/contact/legal pages,public,Direct URL (engwx.com),src/components/LandingPage.jsx,"App.jsx (non-portal hostnames)",,active,"Hardcoded: hello@engwx.com, support@engwx.com, portal.engwx.com"
2,route,/blog,Blog,Public blog index and post viewer from blog_posts table,public,LandingPage nav + direct URL,src/Blog.jsx,"App.jsx",,active,Hardcoded: engwx.com in CTA/footer. renderContent() duplicated in BlogAdmin.
3,route,/api-docs,ApiDocs,Public API reference documentation,public,Direct URL,src/ApiDocs.jsx,App.jsx,,active,"Hardcoded: api.engwx.com, portal.engwx.com, hello@engwx.com, +17869827800"
4,route,/auth/callback,AuthCallback,Processes recovery/magic-link auth tokens,public,Email links,src/AuthCallback.jsx,App.jsx,,active,Uses CSS vars --brand-primary for CTAs
5,route,/weddings/:id,WeddingDashboard,Wedding portal for venue tenants and couples,direct,Direct URL,src/wedding/WeddingDashboard.jsx,App.jsx,,active,Separate product; excluded from audit scope
6,route,portal - login,Login Screen,Email/password auth with signup and password reset,public,portal.engwx.com,App.jsx (inline),"App.jsx",,active,"Hardcoded: support@engwx.com +1 (786) 982-7800 on no_tenant page; hello@engwx.com in signup error"
7,route,portal - signup,SignupPage,Multi-step signup wizard with Stripe checkout,public,Login screen Sign Up tab,src/SignupPage.jsx,App.jsx,,active,"Hardcoded: 3 Stripe price IDs. UI labels say Carrier (fixed) but internal vars/metadata still say twilio_*"
8,route,portal - sp,SP Admin Portal,Service provider console with full platform management,sp_admin,Auto-route on superadmin login,App.jsx (inline AppInner),"App.jsx",,active,23 nav items; SP_TENANT_ID fallback in ~10 page renders
9,menu_item,sp > dashboard,Platform Overview,SP dashboard with tenant cards and channel/revenue stats,sp_admin,SP sidebar,App.jsx SuperAdminDashboard,"App.jsx",,active,Hardcoded demo TENANTS fixtures (Acme/RetailCo/FinServ)
10,menu_item,sp > tenants,Tenant Management,Create/configure/invite/delete tenants with branding and team,sp_admin,SP sidebar,App.jsx TenantManagement,"App.jsx",,active,"Hardcoded: portal.engwx.com in demo credentials. BrandingEditor uses RPC (fixed)."
11,menu_item,sp > hierarchy,Hierarchy,Interactive tree of full tenant hierarchy with move/re-parent,sp_admin,SP sidebar,src/HierarchyView.jsx,"App.jsx",,active,Hardcoded PLAN_MRR map (inconsistent across 4 files)
12,menu_item,sp > pipeline,Pipeline,Kanban pipeline board for SP leads,sp_admin,SP sidebar,src/components/PipelineDashboard.jsx,"App.jsx, CSPPortal.jsx",,active,"Hardcoded: SP_TENANT_ID, calendly.com/rob-engwx/30min, EngageWorx in AI prompt. CPEXPO_SEQUENCE_ID REMOVED (fixed)."
13,menu_item,sp > import,Import Leads,CSV lead import with tenant-scoped sequence enrollment,sp_admin,SP sidebar,src/ImportLeads.jsx,"App.jsx, CSPPortal.jsx",,active,"CPEXPO_SEQUENCE_ID REMOVED (fixed). Now accepts currentTenantId prop. SP_TENANT_ID fallback still in env."
14,menu_item,sp > lead-scan,Lead Scan,Mobile lead capture with vCard/AI card reading,sp_admin,SP sidebar,src/LeadScan.jsx,"App.jsx",,active,"CPEXPO_SEQ_ID REMOVED (fixed). SP_TENANT_ID fallback remains. CPExpo default location still in localStorage."
15,menu_item,sp > sequences,Sequence Roster,View sequence enrollments and statuses,sp_admin,SP sidebar,src/SequenceRoster.jsx,"App.jsx, CSPPortal.jsx",,active,Feature-gated: requires AUP + TCR approval
16,menu_item,sp > sequence-builder,Sequence Builder,Create/edit multi-step outreach sequences with AI generation,sp_admin,SP sidebar,src/SequenceBuilder.jsx,"App.jsx, CSPPortal.jsx",,active,"Hardcoded: EngageWorx in AI prompt for sequence generation"
17,menu_item,sp > campaigns,Campaigns,Campaign management with creation wizard and analytics,sp_admin,SP sidebar,src/CampaignsModule.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,Clean after audit
18,menu_item,sp > contacts,Contacts,Full contact directory with companies/VIP/dedup/CSV import,sp_admin,SP sidebar,src/ContactsModule.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,"Hardcoded: rob@engwx.com hello@engwx.com notifications@engwx.com support@engwx.com as internal email fallbacks"
19,menu_item,sp > inbox,Live Inbox,Multi-channel messaging inbox (SMS/email/WhatsApp/voice),sp_admin,SP sidebar,src/components/LiveInboxV2.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,"Hardcoded: hello@engwx.com as default from; Rob Mumby in Assign to Me"
20,menu_item,sp > helpdesk,Help Desk,AI-powered support ticket system with auto-triage,sp_admin,SP sidebar,src/components/HelpDesk/HelpDeskModule.jsx,"App.jsx, CSPPortal.jsx, AgentPortal, MasterAgentPortal, CustomerPortal",,active,"Claude reference REMOVED (fixed). Clean."
21,menu_item,sp > chatbot,AI Chatbot,Chatbot config (personality/KB/escalation/signatures) with preview,sp_admin,SP sidebar,src/AIChatbot.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,"Vendor names in display labels REMOVED (fixed). But option values still expose claude-sonnet-4-6 etc in DOM. Rob Mumby as sigFromName default. The EngageWorx Team as teamSig default."
22,menu_item,sp > flows,Flow Builder,Visual drag-and-drop conversation flow editor,sp_admin,SP sidebar,src/FlowBuilder.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,"Creates own Supabase client (should use shared). No backend execution engine (UI-only)."
23,menu_item,sp > analytics,Global Analytics,Platform-wide analytics with channel mix and tenant breakdown,sp_admin,SP sidebar,src/AnalyticsDashboard.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,Demo tenant names hardcoded (acceptable for demo mode)
24,menu_item,sp > customer-success,Customer Success,Per-tenant health scoring with usage tracking,sp_admin,SP sidebar (superadminOnly),src/CustomerSuccessDashboard.jsx,"App.jsx",,active,"Hardcoded PLAN_LIMITS (TODO to read from DB). PLAN_MRR missing silver/gold/platinum/diamond."
25,menu_item,sp > platform-updates,Platform Updates,Admin CRUD for release notes and announcements,sp_admin,SP sidebar (superadminOnly),src/PlatformUpdates.jsx,"App.jsx",,active,Clean
26,menu_item,sp > registrations,Registrations,10DLC/TCR registration with WhatsApp/RCS stubs,sp_admin,SP sidebar,src/components/Registrations/RegistrationsPage.jsx,"App.jsx, CustomerPortal",,active,WhatsApp and RCS tabs are stubs
27,menu_item,sp > demo,Demo Mode,Interactive mobile demo with 5 simulated screens,sp_admin,SP sidebar,src/MobileDemo.jsx,"App.jsx",,active,"Hardcoded: SP_TENANT_ID. Real prospect names in mock data (confidentiality concern)."
28,menu_item,sp > blog,Blog Manager,Admin CRUD for blog posts,sp_admin,SP sidebar (superadminOnly),src/BlogAdmin.jsx,"App.jsx",,active,renderContent() duplicated from Blog.jsx
29,menu_item,sp > api,APIs & Integrations,Settings filtered to integrations/api/webhooks tabs,sp_admin,SP sidebar,src/Settings.js (filtered tabs),"App.jsx",,active,
30,menu_item,sp > platform-settings,Platform Settings,Single source of truth for platform config (plans/brand/contact/onboarding),sp_admin,SP sidebar (superadminOnly),App.jsx PlatformSettingsPage (inline),"App.jsx",,active,Auto-saves per field; manages plans/industries/customer_type_options/escalation rules
31,menu_item,sp > action-board,Action Board,Three-tier AI action items with Gmail drafts integration,sp_admin,SP sidebar (superadmin only),src/ActionBoard.jsx,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,Replaces EmailDigest as primary action surface. Clean.
32,menu_item,sp > settings,Settings,SP-level settings for channels/billing/team/notifications/security/alerts/modules,sp_admin,SP sidebar,src/Settings.js (filtered tabs),"App.jsx",,active,"Hardcoded: SP_TENANT_ID (3x), hello@engwx.com, rob@engwx.com alert placeholder, api.engwx.com/v1/stripe/webhook. Vendor names REMOVED from labels (fixed)."
33,menu_item,sp > email-digest,Email Digest (hidden),Legacy digest with pending email actions and VIP outreach,sp_admin,No nav entry (route still exists),src/EmailDigest.jsx,"App.jsx",,legacy,"Nav removed per digest sunset 2026-05-13; route still reachable. hello@engwx.com (7x). Scheduled for Phase 3 deletion."
34,menu_item,sp > tcr-queue,TCR Queue (hidden),SP admin TCR submission review queue,sp_admin,No visible nav entry,src/TCRQueue.jsx,"App.jsx",,active,"No nav entry. Twilio (5x) and Claude (2x) vendor names in buttons/alerts — SP-admin-only but still violations."
35,component,src/CSPPortal.jsx,CSP Portal,Full portal shell for CSP partners with dashboard and drill-down,"sp_admin, csp_partner",Auto-route on CSP login or SP drill-down,"LiveInbox, ContactsModule, Settings, PipelineDashboard, HelpDeskModule, SequenceBuilder, ActionBoard, BrandingEditor, TenantBrandingManager","App.jsx",,active,"Hardcoded: portal.engwx.com (6x) in credential copy text."
36,component,src/AgentPortal.jsx,Agent Portal,Portal for agent-tier partners with commissions and referral tracking,"sp_admin, agent",Auto-route on agent login or SP drill-down,"BrandingEditor, HelpDeskModule, SupportRequestForm, OnboardingWizard","App.jsx",,active,"Hardcoded: hello@engwx.com (default, overridden by API), portal.engwx.com (4x), engwx.com/ref/ /demo /pricing /docs. BrandingEditor actor correctly derives msp/loa (fixed). DUPLICATE: inline branding form in settings page (lines 673-714) bypasses RPC save."
37,component,src/MasterAgentPortal.jsx,Master Agent Portal,Rollup portal for master agents with agent hierarchy and commissions,"sp_admin, agent",Auto-route on master_agent login or SP drill-down,"BrandingEditor, HelpDeskModule, SupportRequestForm, OnboardingWizard, TenantBrandingManager","App.jsx",,active,"BrandingEditor actor correctly derives msp/loa (fixed). PLAN_MRR hardcoded. Clean."
38,component,src/App.jsx > CustomerPortal,Customer Portal,Tenant portal shell for direct customers and CSP sub-tenants,"direct, csp_partner, agent",Auto-route on tenant login or drill-down,"CampaignsModule, ContactsModule, LiveInbox, AIChatbot, FlowBuilder, Settings, HelpDeskModule, ActionBoard, more","App.jsx",,active,"Default agent name fallback Aria; engwx_language localStorage key."
39,settings_panel,src/Settings.js > channels,Channels,SMS/Email/WhatsApp/RCS/Voice/MMS channel configuration,all,Settings nav,src/Settings.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,"Vendor names REMOVED from labels (fixed). Hardcoded: hello@engwx.com from_email default."
40,settings_panel,src/Settings.js > billing,Billing,Stripe subscription and usage management with plan selection and top-ups,all,Settings nav,src/Settings.js,"App.jsx, CustomerPortal",,active,"Hardcoded: api.engwx.com/v1/stripe/webhook, mailto:hello@engwx.com for enterprise inquiry."
41,settings_panel,src/Settings.js > team,Team,Team member management with roles and notification preferences,all,Settings nav,src/Settings.js,"App.jsx, CSPPortal.jsx, CustomerPortal",,active,
42,settings_panel,src/Settings.js > notifications,Notifications,Notification preferences per team member,all,Settings nav,src/Settings.js,"App.jsx, CustomerPortal",,active,
43,settings_panel,src/Settings.js > security,Security,Audit log viewer,all,Settings nav,src/Settings.js,"App.jsx, CustomerPortal",,active,
44,settings_panel,src/Settings.js > alerts,Alerts,SP-level alert configuration,sp_admin,Settings nav,src/Settings.js,"App.jsx",,active,"Hardcoded: rob@engwx.com as alert email placeholder."
45,settings_panel,src/Settings.js > modules,Modules,Toggle-able feature modules per tenant,all,Settings nav,src/Settings.js,"App.jsx, CustomerPortal",,active,ai_omni_digest module still listed in modules.js with defaultEnabled: false
46,settings_panel,src/Settings.js > branding,Branding,Tenant branding via canonical BrandingEditor,all,Settings nav (admin/superadmin only),src/Settings.js > BrandingEditor,"App.jsx, CustomerPortal",,active,"FIXED: Now uses BrandingEditor (not TenantBranding). RPC save with clear flags."
47,settings_panel,src/Settings.js > integrations,Integrations,Calendly/Typeform/HubSpot/Zapier/Custom integration setup,all,Settings nav,src/Settings.js,"App.jsx, CustomerPortal",,active,
48,settings_panel,src/Settings.js > api,API Keys,API key management,all,Settings nav,src/Settings.js,"App.jsx",,active,
49,settings_panel,src/Settings.js > webhooks,Webhooks,Webhook endpoint configuration,all,Settings nav,src/Settings.js,"App.jsx",,active,
50,component,src/BrandingEditor.jsx,BrandingEditor,Canonical branding editor with RPC save and cascade permissions,"all (permission-gated)",Settings > Branding tab; TenantMgt Configure; OnboardingWizard,supabaseClient.js + AuthContext.js,"App.jsx TenantMgt, Settings.js, TenantBrandingManager, AgentPortal, MasterAgentPortal, CSPPortal, OnboardingWizard",,active,"FIXED: Uses RPC with clear flags. No hardcoded values. Clean."
51,component,src/TenantBrandingManager.jsx,TenantBrandingManager,Accordion list of child tenants with inline BrandingEditor,csp_partner,CSPPortal; MasterAgentPortal,BrandingEditor + AutoDetectBrandBar,"CSPPortal.jsx, MasterAgentPortal.jsx",,active,"FIXED: No hardcoded actor permissions. Derives from AuthContext. Clean."
52,component,src/OnboardingWizard.jsx,OnboardingWizard,6-step onboarding (Welcome/Branding/Email/AI/WhatsApp/Done),all,First login after AUP acceptance,,"CSPPortal.jsx, AgentPortal.jsx, MasterAgentPortal.jsx, CustomerPortal",,active,"FIXED: Branding save uses RPC. Hardcoded: calendly.com/rob-engwx/30min (Done step), Aria default AI name."
53,component,src/AUPModal.jsx,AUPModal,Scroll-gated Acceptable Use Policy modal,all,First login (aup_accepted=false),,"App.jsx",,active,"Hardcoded: support@engwx.com, +1 (786) 982-7800, EngageWorx in legal text."
54,component,src/SetupChecklist.jsx,SetupChecklist,Dismissible setup progress widget for demo tenants,direct,CustomerPortal dashboard (demo tenants only),,"App.jsx CustomerPortal",,active,Only renders for is_demo=true tenants. Clean.
55,component,src/CreateSandbox.jsx,CreateSandbox,Admin form to create sandbox/demo tenants,sp_admin,TenantManagement buttons,,"App.jsx TenantManagement, CSPPortal.jsx",,active,"BROKEN: Line 143 mentions Supabase AND Twilio in customer-facing instruction text. portal.engwx.com hardcoded."
56,component,src/components/DemoRequestForm.jsx,DemoRequestForm,Book a Demo form with AI lead classification,public,LandingPage,,"LandingPage.jsx",,active,"Hardcoded: calendly.com/rob-engwx/30min, hello@engwx.com, pricing."
57,component,src/components/EngageWorxDemo.jsx,EngageWorxDemo,Multi-screen interactive product demo with AI narrator,public,LandingPage (gated),,"LandingPage.jsx",,active,"Hardcoded: +1 (786) 982-7800, hello@engwx.com, portal.engwx.com, MoneyPenny competitor."
58,component,src/DemoMode.jsx,DemoMode,Admin panel to seed/clear Demo Company tenant,sp_admin,SP portal demo nav?,,"App.jsx",,unclear,"Hardcoded: DEMO_TENANT_ID. Creates own Supabase client."
59,component,src/StreamingTest.jsx,StreamingTest,Internal test page for streaming AI pipeline,sp_admin,CustomerPortal (internal only gate),,"App.jsx CustomerPortal (customer_type===internal)",,legacy,"Vendor names: botName='Claude', claude-sonnet-4-20250514, Anthropic SSE in UI text. Marked NOT production."
60,component,src/PlatformUpdatesBell.jsx,PlatformUpdatesBell,Notification bell for platform updates in all portal sidebars,all,All portal sidebars,,"App.jsx, CSPPortal.jsx, AgentPortal.jsx, MasterAgentPortal.jsx, CustomerPortal",,active,Clean
61,component,src/SupportRequestForm.jsx,SupportRequestForm,In-portal support ticket submission form,all,AgentPortal; MasterAgentPortal,,"AgentPortal.jsx, MasterAgentPortal.jsx",,active,Clean
62,component,src/AdminTenants.jsx,AdminTenants,Simple admin tenant list with approve/reject/suspend,sp_admin,view=admin_tenants (no nav entry),,"App.jsx",,legacy,"No nav entry. Superseded by TenantManagement. 22 hardcoded colors."
63,component,src/CSPSMSRegistration.jsx,CSPSMSRegistration,CSP-facing TCR registration management with tenant reminders,csp_partner,CSPPortal registrations page,,"CSPPortal.jsx",,active,"Claude reference REMOVED (fixed). Clean."
64,component,src/TCRRegistration.jsx,TCRRegistration,Multi-step TCR campaign registration wizard,all,RegistrationsPage TCR tab,,"RegistrationsPage.jsx, CSPSMSRegistration.jsx",,active,"Claude reference REMOVED (fixed). Clean."
65,component,src/NLCampaignBuilder.jsx,NLCampaignBuilder,Natural-language campaign builder with AI generation,all,Not imported anywhere,,"None found",,dead,"Creates own Supabase client. Hardcoded: Hello from EngageWorx! fallback. NOT IMPORTED."
66,component,src/AutoDetectBrandBar.jsx,AutoDetectBrandBar,Auto-detect branding from tenant website URL,sp_admin,CSPPortal branding page; TenantBrandingManager,,"CSPPortal.jsx, TenantBrandingManager.jsx",,active,Clean
67,component,src/BrandLogo.jsx,BrandLogo,White-label aware brand name/logo renderer,all,All portal sidebars and login,,"App.jsx, multiple portals",,active,EngageWorx as platform default (acceptable)
68,component,src/FeatureGate.jsx,FeatureGate,Locked-feature placeholder with step checklist + KycStartBanner,all,App.jsx wraps pipeline/sequences/lead-scan,,"App.jsx",,active,KycStartBanner mentions Stripe Identity (vendor leak)
69,component,src/components/AIConfigBuilder.jsx,AIConfigBuilder,Conversational AI config builder with schema validation,all,EscalationRulesConfig.jsx,,"EscalationRulesConfig.jsx",,active,"No C prop; no ThemeContext; 45 hardcoded dark-mode colors."
70,component,src/components/LeadPickerModal.jsx,LeadPickerModal,Bulk lead enrollment modal for sequences,all,SequenceBuilder; SequenceRoster,,"SequenceBuilder.jsx, SequenceRoster.jsx",,active,Clean
71,component,src/admin/TenantKnowledgeDocuments.jsx,TenantKnowledgeDocuments,Admin KB document upload and processing,sp_admin,AIChatbot.js KB tab,,"AIChatbot.js",,active,"References wedding_kb_articles table (domain-specific name)."
72,component,src/components/LegalContent.js,LegalContent,Legal page content (Privacy/Terms/SMS Consent/SMS Terms/Accessibility),public,LandingPage legal pages,,"LandingPage.jsx",,active,"Hardcoded: +1 (786) 982-7800 (10x), privacy/support/hello/legal/accessibility @engwx.com, Miami FL. Expected for legal pages."
73,component,src/AgentInbox.jsx,AgentInbox (top-level),Support inbox with mock ticket data and 3 role views,sp_admin,Not imported anywhere,,"None",,dead,"MOCK-ONLY with hardcoded fake data. Not imported by App.jsx."
74,component,src/components/AgentInbox.jsx,AgentInbox (components),Same agent inbox using chat primitives,sp_admin,Not imported anywhere,,"None",73,dead,"MOCK-ONLY with identical MOCK_TICKETS/MOCK_AGENTS. Not imported by App.jsx."
75,component,src/ContactManager.jsx,ContactManager,Standalone contact manager with table/CRUD/CSV import,all,Not imported anywhere,,"None",,dead,"Creates own Supabase client. Queries contacts WITHOUT tenant_id filter. Full duplicate of ContactsModule.js."
76,component,src/LiveInbox.js,LiveInbox (v1),Multi-channel inbox — superseded by LiveInboxV2,all,Not imported anywhere,,"None",19,dead,"App.jsx imports LiveInboxV2 as LiveInbox. Same demo data as V2."
77,component,src/ChatbotConfig.jsx,ChatbotConfig,Chatbot config page — superseded by AIChatbot.js,all,Not imported anywhere,,"None",,dead,"Not imported in App.jsx. Superseded by AIChatbot.js. createClient FIXED to shared supabaseClient (P0 fix). tenant_id null FIXED."
78,component,src/digestStore.js,DigestStore,Singleton state store for EmailDigest,sp_admin,EmailDigest.jsx only,,"EmailDigest.jsx",,legacy,Scheduled for Phase 3 cleanup per CLAUDE.md
79,component,src/demoFixtures.js,demoFixtures,Shared demo fixture data for coherent demo mode,sp_admin,Pipeline/Contacts/Inbox/HelpDesk demo views,,"PipelineDashboard, ContactsModule, LiveInboxV2, HelpDeskModule",,active,docs.engwx.com/csp/onboarding; fictional companies
80,component,src/AuthContext.js,AuthContext,Core auth context (user/session/profile/roles/demo toggle),all,App.jsx root provider,,"App.jsx, all portals",,active,Clean
81,component,src/BrandingContext.js,BrandingContext,Hostname-based white-label branding resolution,all,App.jsx root provider,,"App.jsx",,active,"PLATFORM_HOSTNAMES array, default brandName EngageWorx, chatbotName Aria. Acceptable for branding resolution layer."
82,component,src/ThemeContext.js,ThemeContext,Dark/light theme provider with brute-force CSS override injection,all,App.jsx root provider,,"App.jsx, all portals",,active,"~300 lines of [style*=] !important overrides for light mode. localStorage ew_theme_mode/ew_theme_preference."
83,component,src/i18n.js,i18n,i18next initialization with 4 locales (en/pt/es/pl),all,App.jsx root import,,"App.jsx",,active,
84,component,src/lib/modules.js,Module Registry,Canonical module registry with tier/toggle system,all,Settings modules tab; nav generation,,"Settings.js, navMenu.js, CSPPortal.jsx",,active,"ai_omni_digest still listed with defaultEnabled: false. Branding module REMOVED (fixed)."
85,component,src/navMenu.js,Nav Menu,Canonical main menu shared across portal types,all,CustomerPortal sidebar,,"App.jsx CustomerPortal",,active,"Branding entry REMOVED (fixed). scope field gates: all/admin/sa."
86,component,src/lib/pipelineStages.js,Pipeline Stages (frontend),Stage key constants and lookup helper,all,PipelineDashboard; ImportLeads; App.jsx,,"PipelineDashboard.jsx, ImportLeads.jsx, App.jsx",,active,
87,component,src/components/chat/index.js,Chat Primitives,Shared chat components (MessageBubble/ChatThread/ChatInput/TypingIndicator),all,StreamingTest; AIConfigBuilder; components/AgentInbox,,"StreamingTest.jsx, AIConfigBuilder.jsx, components/AgentInbox.jsx",,active,Phase 1 extraction
88,api_endpoint,api/sms.js,SMS Send/Webhook,Outbound SMS send and inbound webhook with AI auto-reply,all,Frontend + provider webhook,,"LiveInboxV2, poland-carrier.js",,active,"SP_TID catch-all REMOVED (fixed). Remaining: +1 (786) 982-7800 in HELP reply, EngageWorx in opt-in/help messages."
89,api_endpoint,api/twilio-voice.js,Voice System,Full IVR/AI call handling/voicemail/transcription,all,Provider webhook,,"voice.js (proxy)",,active,"SP_TID catch-all on inbound REMOVED (fixed). 7869827800 force-route REMOVED (fixed). Remaining: ai-reply and voicemail actions still fallback to SP_TID when ?tenant= missing. EngageWorx in catch-all greeting."
90,api_endpoint,api/whatsapp.js,WhatsApp Send/Webhook,WhatsApp send via provider + inbound webhook,all,Frontend + provider webhook,,,,active,"Cross-tenant fallback REMOVED (fixed). SP_TID catch-all REMOVED (fixed). Remaining: portal.engwx.com in StatusCallback URL."
91,api_endpoint,api/meta-whatsapp.js,WhatsApp Cloud API Webhook,Meta WhatsApp Cloud API webhook handler,all,Meta webhook,,,,active,"Already had correct no-match behavior (log + return 200). Full-table scan of channel_configs for phone_number_id matching."
92,api_endpoint,api/email-inbound.js,Email Inbound,Master inbound email handler with AI analysis and auto-reply,all,Email provider webhook,,,,active,"CRITICAL: EW_EMAIL_SYSTEM_PROMPT says 'powered by Claude (Anthropic)' — vendor disclosure in customer-facing AI replies. Massive hardcoded system prompt with pricing, phone, Calendly, signature HTML."
93,api_endpoint,api/email-inbound-concierge.js,Wedding Email Concierge,Wedding concierge email AI handler,direct,Email provider webhook,,,,active,"Routing prefix strip FIXED. Remaining: hardcoded 'Delamere Manor' from_name in escalation email."
94,api_endpoint,api/email.js,Generic Email Send,Basic email send (no tenant awareness),all,Various internal + frontend,,,,active,"SendGrid references in error messages replaced with 'Email delivery error' (fixed). EngageWorx as from-name fallback."
95,api_endpoint,api/stripe-webhook.js,Stripe Webhook,Dedicated Stripe webhook for checkout/subscription lifecycle,all,Stripe webhook,,,,active,"CRITICAL: Rob Mumby/Founder CEO/EngageWorx hardcoded in welcome email HTML, phone, Calendly. Breaks white-label for ALL tenants."
96,api_endpoint,api/helpdesk.js,Help Desk API,AI-powered ticket CRUD with auto-triage,all,Frontend (HelpDeskModule),,,,active,"Claude (Anthropic) reference REMOVED (fixed). Remaining: massive hardcoded EW_SYSTEM_PROMPT with pricing/portal URL."
97,api_endpoint,api/demo-ai.js,Demo AI,Sales demo AI narrator,public,Frontend (EngageWorxDemo),,,,active,"CRITICAL: Hardcoded personal phone +1 (305) 810-8877, rob@engwx.com, competitor names in system prompt."
98,api_endpoint,api/billing.js,Billing,Stripe billing signup/checkout/portal/status/webhook,all,Frontend + Stripe webhook,,,,active,"14 hardcoded Stripe price IDs, portal.engwx.com, SP_TENANT_ID. Possible code corruption around line 535."
99,api_endpoint,api/intake.js,Lead Intake,Public lead intake form handler with AI classification,public,Public form submissions,,,,active,"rob@engwx.com alert routing FIXED (uses notifyTenantAdmins). Remaining: hardcoded signature HTML with Rob Mumby, phone, Calendly (internal admin email). Possible duplicate const declaration."
100,api_endpoint,api/cron-stale-leads.js,Cron: Stale Leads,Find stale leads and generate AI outreach,sp_admin,Vercel cron,,,,active,"Claude reference in digest email REMOVED (fixed). Remaining: system prompt references 'Rob' by name."
101,api_endpoint,api/send-onboarding-reminder.js,Onboarding Reminder,Send onboarding reminder emails,sp_admin,Frontend,,,,active,"SendGrid API key reference FIXED. Remaining: uses direct sgMail.send (violates sendTenantEmail rule). 'Rob from EngageWorx' hardcoded."
102,api_endpoint,api/sequences.js,Sequence Engine,Full sequence lifecycle (enroll/process/pause/cancel/send),all,Frontend + cron-sequences.js,,,,active,"EngageWorx as fallback platform name. SMS send hardwired to global env var credentials."
103,api_endpoint,api/cron-email-digest.js,Cron: Email Digest (retired),No-op handler — digest sunset 2026-05-13,sp_admin,Formerly Vercel cron,,,,dead,Retired per CLAUDE.md
104,api_endpoint,api/cron-digest-scheduled.js,Cron: Digest Scheduled (retired),No-op handler — digest sunset 2026-05-13,sp_admin,Formerly Vercel cron,,,,dead,Retired per CLAUDE.md
105,api_endpoint,api/_aiReply.js,Helper: AI Reply,Shared Claude reply with tenant config lookup,all,Internal,,,,unclear,"Partially dead — sms.js and email-inbound.js have inline AI reply functions."
106,api_endpoint,api/_omnichannel-insight.js,Helper: Omnichannel Insight,Log inbound interactions to email_actions for digest,all,email-inbound.js,,,,legacy,Feeds deprecated email_actions table; digest consumer retired
